,title,link,isSuccess,descriptions,commits,link_issues
0,fix: added extra blank line between sections,https://github.com/freeCodeCamp/freeCodeCamp/pull/50020,False,"In the Vim section, added extra blank lines between sections for better visibility of the content
Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #XXXXX",['fix: added extra blank line'],[]
1,fix(deps): update dependency @monaco-editor/react to v4.5.0,https://github.com/freeCodeCamp/freeCodeCamp/pull/50012,True,"This PR contains the following updates:
Package Change Age Adoption Passing Confidence
@monaco-editor/react 4.4.6 -> 4.5.0
Release Notes
suren-atoyan/monaco-react
Configuration
📅 Schedule: Branch creation - ""every weekend"" (UTC), Automerge - At any time (no schedule defined).
🚦 Automerge: Enabled.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
🔕 Ignore: Close this PR and you won't be reminded about this update again.
If you want to rebase/retry this PR, check this box
This PR has been generated by Mend Renovate. View repository job log here.",['fix(deps): update dependency @monaco-editor/react to v4.5.0'],[]
2,chore(deps): update dependency ts-jest to v29.1.0,https://github.com/freeCodeCamp/freeCodeCamp/pull/50007,True,"This PR contains the following updates:
Package Change Age Adoption Passing Confidence
ts-jest (source) 29.0.5 -> 29.1.0
Release Notes
kulshekhar/ts-jest
Configuration
📅 Schedule: Branch creation - ""every weekend"" (UTC), Automerge - At any time (no schedule defined).
🚦 Automerge: Enabled.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
🔕 Ignore: Close this PR and you won't be reminded about this update again.
If you want to rebase/retry this PR, check this box
This PR has been generated by Mend Renovate. View repository job log here.",['chore(deps): update dependency ts-jest to v29.1.0'],[]
3,chore(deps): update automerged always - codesee to v0.551.0,https://github.com/freeCodeCamp/freeCodeCamp/pull/50006,True,"This PR contains the following updates:
Package Change Age Adoption Passing Confidence
@codesee/babel-plugin-instrument 0.549.0 -> 0.551.0
@codesee/tracker 0.549.0 -> 0.551.0
Configuration
📅 Schedule: Branch creation - ""every weekend"" (UTC), Automerge - At any time (no schedule defined).
🚦 Automerge: Enabled.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
🔕 Ignore: Close this PR and you won't be reminded about these updates again.
If you want to rebase/retry this PR, check this box
This PR has been generated by Mend Renovate. View repository job log here.",['chore(deps): update automerged always - codesee to v0.551.0'],[]
4,fix(deps): update dependency i18next to v22.4.14,https://github.com/freeCodeCamp/freeCodeCamp/pull/50005,True,"This PR contains the following updates:
Package Change Age Adoption Passing Confidence
i18next (source) 22.4.13 -> 22.4.14
Release Notes
i18next/i18next
Configuration
📅 Schedule: Branch creation - ""every weekend"" (UTC), Automerge - At any time (no schedule defined).
🚦 Automerge: Enabled.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
🔕 Ignore: Close this PR and you won't be reminded about this update again.
If you want to rebase/retry this PR, check this box
This PR has been generated by Mend Renovate. View repository job log here.",['fix(deps): update dependency i18next to v22.4.14'],[]
5,chore(deps): update dependency @uiw/react-codemirror to v3.2.9,https://github.com/freeCodeCamp/freeCodeCamp/pull/50003,True,"This PR contains the following updates:
Package Change Age Adoption Passing Confidence
@uiw/react-codemirror (source) 3.2.7 -> 3.2.9
Release Notes
uiwjs/react-codemirror
Configuration
📅 Schedule: Branch creation - ""every weekend"" (UTC), Automerge - At any time (no schedule defined).
🚦 Automerge: Enabled.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
🔕 Ignore: Close this PR and you won't be reminded about this update again.
If you want to rebase/retry this PR, check this box
This PR has been generated by Mend Renovate. View repository job log here.",['chore(deps): update dependency @uiw/react-codemirror to v3.2.9'],[]
6,chore(deps): update github actions,https://github.com/freeCodeCamp/freeCodeCamp/pull/50002,True,"This PR contains the following updates:
Package Type Update Change
Codesee-io/codesee-action action digest 2b15483 -> 91e875f
github/codeql-action action digest 04df126 -> d186a2a
Configuration
📅 Schedule: Branch creation - ""every weekend"" (UTC), Automerge - At any time (no schedule defined).
🚦 Automerge: Enabled.
♻ Rebasing: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.
👻 Immortal: This PR will be recreated if closed unmerged. Get config help if that's undesired.
If you want to rebase/retry this PR, check this box
This PR has been generated by Mend Renovate. View repository job log here.",['chore(deps): update github actions'],[]
7,fix(curriculum): fix backspace in string escape sequences,https://github.com/freeCodeCamp/freeCodeCamp/pull/50001,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #41388
I was following the course and I was surprised by the \b escape sequence being called ""word boundary"". It appears to have been an accidental change while changing the name of \b in regex (more info in #41388), but it is not correct in the context of string escape sequences.
For reference, consult the MDN:
\b backspace (U+0008 BACKSPACE)",['fix(curriculum): fix backspace in string escape sequences'],['Word boundary and backspace confusion in JavaScript string escape sequences']
8,"fix(curriculum): revise intro ""Selecting from Many Options with Switch Statements""",https://github.com/freeCodeCamp/freeCodeCamp/pull/50000,True,"Checklist:
I have read and followed the contribution guidelines.
I have read and followed the how to open a pull request guide.
My pull request targets the main branch of freeCodeCamp.
I have tested these changes either locally on my machine, or GitPod.
Closes #49976
In this PR, I've revised the introduction text for the ""Selecting from Many Options with Switch Statements"" curriculum lesson. The changes include incorporating the suggestion from a FreeCodeCamp member to use a switch statement when matching one value against many options, and providing a more concise and clear explanation of the switch statement syntax and behavior. These changes will improve the learning experience for FreeCodeCamp students by providing more accurate and effective guidance on how to use switch statements in JavaScript.","['Update caseInSwitch function with switch statement', 'Update introduction text']",['Possible Change to Switch Introduction']
9,"chore(i18n,learn): processed translations",https://github.com/freeCodeCamp/freeCodeCamp/pull/49993,True,This PR was opened auto-magically by Crowdin.,"['chore(i18n,learn): processed translations']",[]
